filename,category,description,rarity
001_Agent.png,Unused Mobs,"The Agent is a interactive passive mob that is exclusive to Minecraft Education and Bedrock Edition.",anc
002_Aggressive Panda.png,Neutral Mobs,"A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.",unc
003_Albino Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",unc
004_Allay,Passive Mobs,"An allay is a flying passive mob that collects and delivers items for any player that gives it something or any note block it hears recently playing. It looks similar to its hostile counterpart the vex.",com
005_Anemone.png,Passive Mobs,"Tropical fish are common bucketable aquatic passive mobs found in oceans mangrove swamps and lush caves. There are 2700 naturally occurring variants of tropical fish of different colors and shapes with unique names in Bedrock Edition and 3072 in Java Edition.",unc
006_Angry Bee.png,Neutral Mobs,"Bees are flying neutral mobs that live in bee nests and beehives. Bees pollinate flowers and when they do add honey to their home when they return to it. If provoked by being attacked or breaking or harvesting their hive or nest without the correct precautions bees suicidally attack in a swarm.",unc
007_Angry Wolf.png,Neutral Mobs,"A wolf is a neutral mob that can be tamed using bones. Tamed wolves defend their owners against attackers and can assist them in combat.",unc
008_Armadillo.png,Passive Mobs,"An armadillo is a passive mob found in badlands and savannas. It rolls up in response to being hurt or being near undead mobs or players that are sprinting or mounted. It is the only source of armadillo scutes which the armadillo sheds over time as well as when it is brushed.",com
009_Ashen Wolf.png,Neutral Mobs,"A wolf is a neutral mob that can be tamed using bones. Tamed wolves defend their owners against attackers and can assist them in combat.",unc
010_Baby Aggressive Panda.png,Neutral Mobs,"A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.",rare
011_Baby Albino Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
012_Baby Angry Wolf.png,Neutral Mobs,"A wolf is a neutral mob that can be tamed using bones. Tamed wolves defend their owners against attackers and can assist them in combat.",rare
013_Baby Black Blackdot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
014_Baby Black Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
015_Baby Black Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
016_Baby Black Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
017_Baby Black Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
018_Baby Black Stockings Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
019_Baby Black Whitefield Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
020_Baby Black Whitespot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
021_Baby Black and White Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
022_Baby Blacksmith.png,Unused Mobs,"Villagers are passive mobs that live in villages work breed and interact with each other. Their clothing reflects their profession. Players can trade with them using emeralds. Villagers were overhauled in the Village & Pillage update changing both their appearance and functionality.",leg
023_Baby Blue Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
024_Baby British Shorthair Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
025_Baby Brown Blackdot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
026_Baby Brown Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
027_Baby Brown Llama.png,Neutral Mobs,"A llama is a tamable neutral mob used to transport large shipments of items.",rare
028_Baby Brown Mooshroom.png,Passive Mobs,"Mooshrooms are mushroom-covered variants of cows exclusive to the rare mushroom fields biome.",rare
029_Baby Brown Panda.png,Neutral Mobs,"A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.",rare
030_Baby Brown Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
031_Baby Brown Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
032_Baby Brown Stockings Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
033_Baby Brown Trader Llama.png,Neutral Mobs,"A trader llama is a llama variant that spawns with wandering traders.",rare
034_Baby Brown Whitefield Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
035_Baby Brown Whitespot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
036_Baby Butcher.png,Unused Mobs,"Villagers are passive mobs that live in villages work breed and interact with each other. Their clothing reflects their profession. Players can trade with them using emeralds. Villagers were overhauled in the Village & Pillage update changing both their appearance and functionality.",leg
037_Baby Calico Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
038_Baby Chestnut Blackdot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
